,CONTENTID,CONTENTTYPEID,CAT1,CAT2,CAT3,TITLE,SIDOCODE,SIGUNGUCODE,ADDRESS,CREATEDTIME,MODIFIEDTIME,MAPX,MAPY,MLEVEL,FIRSTIMAGE,MCATEGORY,SCATEGORY,SEARCHCOUNT,OVERVIEW,firstmenu,treatmenu,DATA
10,2832867,39,A05,A0502,A05020300,키누카누,1,1004,"서울특별시 강서구 공항대로 247 퀸즈파크나인 b103, b104호",20220800000000.0,20220800000000.0,126.8352537,37.55936641,6,http://tong.visitkorea.or.kr/cms/resource/54/2832854_image2_1.jpg,음식,외국식,26645,"키누카누는 발산역 인근에 있는 뷔페식 스시 전문 맛집이다. 저렴한 가격에 한 번, 맛에 또 한 번 놀라는 가성비 최고의 스시 전문점이다.  메뉴는 영업시간에 따라 간단하게 구성돼 있다.  스시 뷔페의 특징을 잘 살리고 있으며 가족, 직장인들이 많이 찾는 곳이다.  키누카누 이름은 떠다니는 빙산을 의미하는 캐나다 원주민의 언어 키우와 노로 젓는 작은 배 카누가 결합한 것이다.",초밥,초밥,키누 카누 발산역 뷔페 스시 전문 맛집 가격 맛 가성 비 최고 스시 전문점 메뉴 영업 시간 구성 스시 뷔페 특징 가족 직장인 키누 카누 이름 빙산 의미 캐나다 원주민 언어 노로 배 카누 결합
11,2752554,39,A05,A0502,A05020200,스케줄청담,1,1001,서울특별시 강남구 선릉로152길 37 (청담동),20211000000000.0,20230100000000.0,127.0426969,37.52469359,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,음식,전문음식,26254,"스케줄청담(Schedule Chungdam)은 고급스러운 인테리어와 소품들로 꾸며진 분위기 레스토랑이다. 파스타, 리조또, 스테이크 등 기본 식사메뉴와 디저트, 와인과 페어링할 수 있는 음식까지 다양한 메뉴가 준비되어 있다. 식당 내부 공간뿐 아니라 야외 테라스 공간도 인스타그램 포토존으로 유명하다.","트러플 화이트 라구, 스케줄 김치볶음밥, 제주 애플망고 빙수","카페, 디저트, 양식",스케줄 청담 인테리어 소품 분위기 레스토랑 파스타 리조또 스테이크 기본 식사 메뉴 디저트 와인 페어 링 음식 메뉴 준비 식당 내부 공간 야외 테라스 공간 인스타그램 포토 존
12,403995,39,A05,A0502,A05020100,진주집,1,1020,서울특별시 영등포구 국제금융로6길 33 ,20080100000000.0,20230200000000.0,126.9269103,37.52078642,6,http://tong.visitkorea.or.kr/cms/resource/70/401170_image2_1.jpg,음식,한식,24969,여의도백화점 지하 식당가에 위치한 진주집은 콩국수 맛있기로 소문난 곳이다. 진하고 걸쭉한 콩국은 특유의 고소하고 부드러운 맛을 잘 살려냈다. 여기에 쫄깃한 면발과 배추 겉절이가 어울려 깊고 풍부한 맛을 낸다. 업무중심가에 위치하므로 일요일과 공휴일은 휴무일이다.,닭칼국수,닭칼국수 / 비빔국수 / 냉콩국수 / 접시만두 외,여의도 백화점 지하 식당가 진주 콩국수 콩국 특유 맛 여기 쫄깃 면발 배추 겉절이 맛 업무 공휴일 일이
13,570596,39,A05,A0502,A05020200,63뷔페파빌리온,1,1020,서울특별시 영등포구 63로 50 ,20080600000000.0,20230100000000.0,126.9401647,37.51980343,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,음식,전문음식,22891,"국내 최대 규모의 뷔페식 레스토랑으로 프리미엄 뷔페 레스토랑 중에서 가장 많은 고객 수를 자랑하고 있으며, 500석의 좌석과 200여 가지 세계 각국의 요리 등 규모와 요리의 종류에서도 단연 국내 최대로 꼽힌다. 샐러드에서 한식, 중식, 일식, 양식 같은 즉석요리까지 다양한 종류와 맛으로 미식가들 사이에서 정평이 나 있다. 신선한 친환경 식재료를 사용해 웰빙 뷔페를 선두하고 있으며, 권위 있는 세계 요리 대회에서 수상한 우수한 실력의 조리진을 갖추고 있다. 자연 채광의 인테리어와 친환경 식자재를 사용하는 등 자연 친화적인 레스토랑을 표방하고 있다. 매스티지 콘셉트를 도입, 대중적이면서도 고급화된 이미지를 선보인다.",뷔페식,,국내 규모 뷔페 레스토랑 프리미엄 뷔페 레스토랑 가장 고객 좌석 여 가지 세계 각국 요리 규모 요리 종류 단연 국내 최대로 샐러드 한식 중식 일식 양식 즉석요리 종류 맛 미식 사이 정평 친환경 식 재료 사용 웰빙 뷔페 선두 권위 세계 요리 대회 수상한 실력 리진 자연 채광 인테리어 친환경 식 자재 사용 자연 적 레스토랑 표방 매스티지 콘셉트 도입 대중 면서 고급 이미지
14,2762857,39,A05,A0502,A05020100,101번지남산돈까스본점,1,1024,서울특별시 중구 소파로 101 (남산동2가),20211000000000.0,20231000000000.0,126.9857817,37.55701382,6,http://korean.visitkorea.or.kr/resources/images/common/no_img_01.png,음식,전문음식,22823,"남산 주변에는 남산돈까스라는 이름의 식당이 많다 보니 구별하기 쉽게 식당 이름에 아예 식당 주소의 번지수 101을 넣은 돈가스 전문점이다. 남산왕돈가스, 매운돈가스, 치즈돈가스 등 다양한 종류의 돈가스와 생선가스, 모둠정식, 냉메밀 등을 판매한다. 돈가스가 나오기 전에 수프가 제공되며, 돈가스의 느끼함을 덜어주는 초록 고추를 쌈장과 함께 제공한다. 방송에 소개되어 입소문을 타고 오는 사람들이 많다. 남산 순환로 남산백범광장 맞은편에 있다.",남산왕돈가스,매운돈가스 / 치즈돈가스 / 냉모밀 등,남산 주변 남산 돈까스 이름 식당 구별 식당 이름 아예 식당 주소 지수 돈가스 전문점 남산 돈가스 돈가스 치즈 돈가스 종류 돈가스 생선 가스 모 정식 냉 메밀 돈가스 수프 제공 돈가스 초록 고추 쌈장 제공 방송 소개 입 소문 타고 사람 남산 순환로 남산 백범 광장 맞은편
15,578330,39,A05,A0502,A05020100,진주회관,1,1024,서울특별시 중구 세종대로11길 26 ,20080600000000.0,20230800000000.0,126.9745493,37.56232411,6,http://tong.visitkorea.or.kr/cms/resource/28/1291528_image2_1.jpg,음식,한식,22783,진주회관은 서울 중구 시청역 인근에 위치한 국수 전문점으로 40년 전통의 걸쭉하고 진한 냉콩국수로 유명한 집이다. 강원도 일대에서 생산되는 순수 우리나라 토종 황태콩으로만 계약 재배하여 만드는 영양만점의 콩국수이다. 콩국물이 진하고 고소하며 쫀득한 면발과 어우러지며 함께 제공되는 김치는 톡 쏘는 맛이 나며 별미라고 한다. 서울에서 콩국수의 진한 맛을 느끼고 싶다면 이곳을 추천한다.,콩국수,콩국수 / 김치찌개 / 섞어찌개 / 삼겹살 등,진주 회관 중구 시청역 국수 전문점 전통 냉 콩국수 강원도 일대 생산 순수 우리나라 토종 황태 콩 계약 재배 만점 콩국수 콩국 물이 쫀득 면발 제공 김치 톡 맛 별미 콩국수 맛 추천
16,2873293,39,A05,A0502,A05020100,성북동면옥집,1,1017,서울특별시 성북구 대사관로 40 ,20221000000000.0,20221200000000.0,126.988647,37.59594823,6,http://tong.visitkorea.or.kr/cms/resource/67/2873267_image2_1.jpg,음식,한식,22358,"성북동 면옥집은 방송에 여러 번 소개된 맛집이다. 갈비찜과 비빔냉면이 이곳의 대표 메뉴다. 왕갈비찜은 양에따라 진, 선, 미로 구분한다. 양념이 전체적으로 자극적이지 않다. 사이드 메뉴로 회냉면이 있다. 성북동빵공장이 바로 옆이고, 주변에 길상사, 와룡공원 등이 있어 함께 둘러보기 좋다.","왕갈비찜 진, 선, 미","왕갈비찜, 냉면, 모둠 전",성북동 면옥 방송 소개 맛집 갈비찜 비빔냉면 대표 메뉴 왕 갈비찜 양 진 선 미로 구분 양념 전체 자극 사이드 메뉴 회 냉면 성북동 빵 공장 바로 주변 길상사 와룡 공원 둘러보기
17,132822,39,A05,A0502,A05020100,오장동함흥냉면,1,1024,서울특별시 중구 마른내로 108 (오장동),20040200000000.0,20221200000000.0,126.9998469,37.56426878,6,http://tong.visitkorea.or.kr/cms/resource/28/771628_image2_1.jpg,음식,한식,21916,"서울 2호선 동대문역사문화공원역 근처에 위치한 함흥냉면 전문점이다. 1950년대 문을 연 이래 3대에 걸쳐 독특한 맛과 명성을 이어가는 곳으로 매장이 넓고 단체석이 있어서 단체 손님도 방문할 수 있다. 특제양념을 통해 매콤함과 감칠맛을 느낄 수 있는 비빔냉면이 시그니처이다. 주요 메뉴로는 물냉면, 회냉면, 만두 등이 있다. 미쉐린 가이드가 선정한 2022년 서울 맛집 중의 하나이다. 근처에 광장시장, 동대문디자인플라자가 있어서 식사 후 방문할 수 있다.",회냉면,"물냉면, 비빔냉면, 온면, 수육, 회무침, 만두",동대문역 화공 역 근처 함흥 냉면 전문점 문 연 맛 명성 어가 매장 손님 방문 특 양념 매콤 함 감칠맛 비빔냉면 처 주요 메뉴 물냉면 회 냉면 만두 미쉐린 가이드 선정 맛집 하나 근처 광장시장 동대문 디자인 플라자 식사 방문
18,2685324,39,A05,A0502,A05020100,공항칼국수,1,1004,서울특별시 강서구 남부순환로 5 ,20201100000000.0,20221100000000.0,126.8077701,37.56131014,6,http://tong.visitkorea.or.kr/cms/resource/35/2685035_image2_1.jpg,음식,한식,21864,김포공항근처 연예인이 많이 찾는 칼국수전문점이다. 서울특별시 강서구에 있는 한식전문점이다. 대표메뉴는 버섯칼국수이다.,버섯칼국수,버섯칼국수 / 내장탕,김포공항 근처 연예인 칼국수 전문점 강서구 한식 전문점 대표 메뉴 버섯 칼국수
19,2832955,39,A05,A0502,A05020100,신토불이떡볶이본점,1,1006,서울특별시 광진구 자양로43길 42 ,20220800000000.0,20220800000000.0,127.090464,37.55259955,6,http://tong.visitkorea.or.kr/cms/resource/53/2832953_image2_1.jpg,음식,간이음식,20577,"신토불이떡볶이 본점은 아차산역 1번출구 도보로 2분 거리에 있다. 항상 줄 서서 먹는 집으로 유명하다. 이곳의 대표 음식은 물론 떡볶이다. 주재료인 떡살은 두툼하고 쫄깃해 식감이 좋고 양은 푸짐하다. 이곳 떡볶이는 처음엔 달콤하다가 매콤해지면서 중독성을 띠는 맛이다. 원래도 유명했지만, 한 방송에서 여배우가 좋아하는 떡볶이집이라는 것이 알려지면서 더욱 유명해졌다. 서울어린이 대공원이나 아차산 생태공원에서 가족끼리 즐거운 시간을 보낸 후 들러서 즐기기 좋다. 주차시설은 따로 없지만, 지하철역에서 가까워 대중교통 접근성이 좋다. ※ 반려동물 동반 불가",떡볶이,"어묵, 핫도그, 음료",신토 불 떡볶이 본점 아차산역 거리 항상 줄 서서 대표 음식 떡볶이 재료 떡살 두툼 쫄깃해 식감 양은 떡볶이 처음 매콤 중독 띠 맛 방송 여배우 떡볶이 더욱 어린이 공원 아차산 생태 공원 가족 끼리 시간 주차 시설 지하철역 접근성 반려동물 동반 불가
20,697423,39,A05,A0502,A05020100,우정,1,1024,서울특별시 중구 퇴계로76길 55 (신당동),20090200000000.0,20230600000000.0,127.0149678,37.56284144,6,http://tong.visitkorea.or.kr/cms/resource/21/696321_image2_1.jpg,음식,간이음식,20518,"우정은 서울 중구 신당역 인근에 위치한 분식 전문점이다. 1970년대에 개업하여 현재까지 자리를 지키고 있다. 오래된 음식점이지만 깔끔한 내부를 유지하고 있다. 대표 메뉴는 즉석떡볶이와 매운닭발로 대중적인 음식과 맛으로 사람들의 발길이 끊이지 않고 있다. 최근 ‘백종원의 3대 천왕’ 프로그램에 소개되었다. 이곳은 새벽 3시까지 영업하여 현지인들이 야식 맛집으로 즐겨 찾는다. 주변 관광지로 충무아트센터, 동대문역사문화공원 등이 있다.",떡볶이,떡볶이 / 어묵 / 해물뚝배기 / 매운닭발 외,우정은 중구 신당역 분식 전문점 개업 현재 음식점 내부 유지 대표 메뉴 떡볶이 닭발 대중 음식 맛 사람 발길 최근 백종원 천왕 프로그램 소개 새벽 영업 지인 야식 맛집 주변 관광지 충무 아트 센터 동대문역 화공
21,2014139,39,A05,A0502,A05020200,울프강스테이크하우스,1,1001,서울특별시 강남구 선릉로152길 21 ,20150700000000.0,20230800000000.0,127.0414776,37.52449915,6,http://tong.visitkorea.or.kr/cms/resource/82/2014182_image2_1.jpg,음식,전문음식,20109,"울프강 스테이크하우스는 미국의 전통 있는 스테이크하우스인 ''피터 루거 스테이크하우스''에서 40여 년간 헤드 웨이터로 근무했던 울프강 즈위너 (Wolfgang Zwiener)가 지난 경험과 노하우를 살려 설립한 미국의 대표적인 스테이크하우스다. 울프강 스테이크하우스는 미국 내에서 3%만 해당하는 최고급 소고기인 USDA 프라임 등급 블랙 앵거스 품종으로 28일간 드라이 에이징으로 숙성된 스테이크만을 제공하며, 현재 울프강 스테이크하우스는 세계 총 13개 지점을 두고 있다.   울프강 스테이크하우스는 복층, 250평 규모로 청담동에 2015년 3월에 문을 열었다. 총 225명가량 수용 가능하며, 1층은 테이블이 세팅된 다이닝 홀과 바(Bar)가 있고 1층과 2층에 총 7개의 프라이빗 룸이 있다. 룸은 6인부터 20인까지 수용 가능하며 비즈니스 미팅, 가족모임 등에 적합한 프라이빗 서비스가 가능하다.",스테이크,포터하우스 스테이크 / 울프강 샐러드 / 클래식 버거 외,울프 강 스테이크하우스 미국 전통 스테이크하우스 피터 루거 스테이크하우스 여 년 헤드 웨이터 근무 울프 강 위너 지난 경험 노하우 설립 미국 대표 스테이크하우스 울프 강 스테이크하우스 미국 만 해당 최고급 소고기 프라임 등급 블랙 앵거스 품종 드라이 에이 징 숙성 스테이크 제공 현재 울프 강 스테이크하우스 세계 총 개 지점 울프 강 스테이크하우스 복층 규모 청담동 문 총 가량 수용 테이블 세팅된 다이닝 홀 바 총 개 프라이 빗 룸 룸 인 인 수용 비즈니스 미팅 가족 모임 프라이 빗 서비스
22,2834396,39,A05,A0502,A05020900,스윗솔트,1,1002,서울특별시 강동구 상암로 286 ,20220800000000.0,20220900000000.0,127.1541417,37.54552929,6,http://tong.visitkorea.or.kr/cms/resource/88/2834388_image2_1.jpg,음식,전문음식,20084,"스윗솔트는 서울 강동구의 길동 공원, 길동생태공원, 승상산이 3면으로 둘러싸여진 숲속의 카페이다. 오전 9시부터 개점한다. 일반적인 브런치 카페보다 일찍 영업을 시작해서 아침 운동을 하면서 들리거나 자녀 등원 후 찾는 학부모가 많다. 건물이 푸른 나무들에 둘러싸여 있고, 건물의 세 면에 큰 유리창을 설치해 카페 안에서도 자연 속에 있는 듯한 느낌이 들게끔 공간이 구성되어 있다. 식사류는 브런치세트, 햄버거, 파스타 등 여러 가지가 호불호를 가리지 않는 맛으로 인기가 많다. 특별한 음료인 칼라만시에이드, 루이보스 밀크티를 빵과 같이 먹는 것도 별미다. ※반려동물 동반 가능 ※참고사항 : 배달 가능",에그 베네딕트,"수제베이컨 치즈버거,명란 크림파스타,브런치셋트, 레드칼라만시에이드, 스윗라테 등",스윗 솔트 강동구 길동 공원 길동 생태 공원 승상 산이 숲속 카페 오전 개점 브런치 카페 일찍 영업 시작 아침 운동 자녀 등원 학부모 건물 푸른 나무 건물 세 유리창 설치 카페 자연 듯 느낌 공간 구성 식사 류 브런치 세트 햄버거 파스타 가지 호불호 맛 인기 음료 칼라 이드 루이보스 밀크 티 빵 별미 반려동물 동반 가능 참고 사항 배달 가능
23,2835042,39,A05,A0502,A05020100,홍능갈비집본점,1,1011,서울특별시 동대문구 제기로 85 ,20220800000000.0,20220800000000.0,127.042584,37.5868947,6,http://tong.visitkorea.or.kr/cms/resource/04/2835004_image2_1.jpg,음식,한식,19310,갈비명가 흥능갈비집 본점은 서울특별시 동대문구 청량리동에 있다. 대중교통을 이용할 경우 6호선 고려대역 4번 출구와 가장 가깝다. 60년에 가까운 전통 맛집답게 요즘은 볼 수 없는 네온사인 간판이 입구에 설치돼 있다. 대표 메뉴는 숯불에 구워 먹는 한우 생갈비지만 양념갈비나 불고기도 인기다. 직원이 직접 구워주고 손질해 주기 때문에 타지 않은 상태의 가장 맛있는 고기를 맛볼 수 있다. 공깃밥을 시키면 된장찌개가 함께 나오고 냉면도 많이 찾는 인기 메뉴다. 단체석이 있어 가족모임이나 회식에도 좋다.  가까운 곳에 청량리 통닭 골목과 경동시장 청년몰이 있어 연계 관광도 가능하다.,한우 생갈비,"양념갈비, 불고기, 안창살, 육회, 갈비탕, 냉면, 육회비빔밥",갈비 흥능 갈비 본점 동대문구 청량리동 경우 고려대역 가장 전통 맛집 답 요즘 네온사인 간판 설치 대표 메뉴 숯불 한우 갈비 양념 갈비 불고기 인기 직원 직접 손질 주기 타지 상태 가장 고기 깃밥 된장찌개 냉면 인기 메뉴 가족 모임 회식 청량리 통닭 골목 동시 청년 몰이 계 관광
24,2840014,39,A05,A0502,A05020100,유천냉면본점,1,1018,서울특별시 송파구 강동대로3길 22 유천칡냉면 ,20220800000000.0,20220800000000.0,127.1155929,37.52855835,6,http://tong.visitkorea.or.kr/cms/resource/07/2840007_image2_1.jpg,음식,한식,19004,"유천냉면 본점은 8호선 강동구청역 4번 출구 부근에 있다. 40년 세월 오랫동안 보리밥과 냉면 판매를 해온 덕에 중소벤처기업부로부터 백년가게 인증을 받았다. 대표 메뉴는 냉면이며 배 한 조각, 오이, 계란 반쪽이 고명으로 올라간다. 물냉면에는 기본 양념장이 들어가는데 주문 시 빼달라고 할 수 있다. 그 외 메밀면과 만두도 인기 메뉴이다. 모든 메뉴는 선불 결제이며, 영수증은 주차 확인증과 같으니 챙겨 두어야 한다. 모든 메뉴가 밀키트 형태로 판매되고 있다. 근방에 올림픽공원, 몽촌역사관이 있어 연계 관광을 할 수 있다.",물냉면,"비빔냉면, 회냉면, 메밀면, 만두, 석쇠불고기, 순대",유천 냉면 본점 강동구청역 부근 세월 보리밥 냉면 덕 중소 벤처기업 부로 백년 가게 인증 대표 메뉴 냉면 배 조각 오이 계란 반쪽 고명 물냉면 기본 양념장 주문 빼 달라 메밀 만두 인기 메뉴 모든 메뉴 선불 영수증 주차 확인 증 모든 메뉴 밀 키트 형태 근방 올림픽 공원 몽촌역사관 계 관광
